run_id,strategy,migration_time_ms,client_downtime_ms,latency_before_downtime_ms,packet_loss_during_migration_pct,total_packets_successful,total_packets,state_size_bytes
base_run_001,precopy,1162.9939079284668,1162.9939079284668,0.0,19,286,290,1
base_run_001,precopy,1119.4493770599365,1119.4493770599365,0.0,25,285,290,1
base_run_001,precopy,1102.273941040039,1102.273941040039,0.0,26,285,290,1
base_run_001,precopy,1068.4199333190918,1068.4199333190918,0.0,31,285,290,2
base_run_001,precopy,1130.0599575042725,1130.0599575042725,0.0,25,287,292,1
base_run_001,precopy,1211.0717296600342,1211.0717296600342,0.0,26,284,289,1
base_run_001,precopy,1199.862003326416,1202.2778987884521,23.66471290588379,25,287,292,2
base_run_001,precopy,1214.4901752471924,1205.6477069854736,0.010967254638671875,24,286,291,4
base_run_001,precopy,1323.26078414917,1281.195878982544,6.54911994934082,31,284,289,3
base_run_001,precopy,1227.9789447784424,1226.5739440917969,6.810426712036133,26,786,791,3
base_run_001,precopy,1168.915033340454,1210.773229598999,8.565425872802734,24,785,790,4
base_run_001,precopy,1301.236629486084,1293.1911945343018,9.419679641723633,42,779,784,2
base_run_001,precopy,1300.6713390350342,1274.1589546203613,29.56676483154297,33,780,785,3
base_run_001,precopy,1204.9586772918701,1202.9459476470947,15.075445175170898,25,286,291,4
base_run_001,precopy,1271.7573642730713,1266.8483257293701,24.144649505615234,33,281,286,2
base_run_001,precopy,1199.0258693695068,1194.1099166870117,9.593009948730469,24,288,293,4
base_run_001,precopy,1361.3512516021729,1360.7683181762695,29.10900115966797,28,284,289,3968
base_run_001,precopy,1216.8073654174805,1179.3534755706787,39.87431526184082,36,283,288,3968
base_run_001,precopy,1234.041452407837,1230.271339416504,15.534639358520508,29,283,288,3968
base_run_001,precopy,1260.4820728302002,1256.0265064239502,15.455007553100586,33,281,286,63488
base_run_001,precopy,1112.7965450286865,1093.1618213653564,32.53889083862305,7,1414,1419,314368
base_run_001,precopy,2570.674419403076,1710.9248638153076,900.7375240325928,14,634,639,140288000
base_run_001,postcopy,2138.108253479004,2138.732671737671,0.0,17,560,565,125952000
base_run_001,postcopy,2224.785804748535,2228.6977767944336,0.0,18,555,559,124928000
base_run_001,postcopy,2242.0127391815186,2246.1934089660645,0.0,16,563,568,128000000
